NPI,Gender,State,Region,Credentials,Specialty,Specialty,Opioids,OO.Av,N.Opioids,NO.Av,Opioid.Prescriber,,,,,
1003097114,M,AL,S,M.D.,Pulmonary Disease,MD,0,0,461,1,0,,,,,
1003098724,F,NJ,NE,D.D.S.,Dentist,DDS,0,0,23,1,0,,,,,
1003101411,M,MI,MW,D.O.,Family Practice,DO,41,1,26,1,1,,,,,
1003101783,M,TX,S,MD,Internal Medicine,MD,14,1,12,1,1,,,,,
1003102435,M,TX,S,DDS,Oral Surgery (dentists only),DDS,0,0,40,1,0,,,,,
1003102625,F,FL,S,ARNP,Nurse Practitioner,NP,12,1,950,1,1,,,,,
1003110016,M,TN,S,APN,Nurse Practitioner,NP,0,0,178,1,0,,,,,
1003110172,M,CO,W,PA-C,Physician Assistant,PA,12,1,420,1,1,,,,,
1003115486,M,MD,S,M.D.,Internal Medicine,MD,19,1,265,1,1,,,,,
1003120502,M,CO,W,M.D.,Internal Medicine,MD,0,0,29,1,1,,,,,
1003127135,M,NY,NE,M.D.,Internal Medicine,MD,0,0,32,1,0,,,,,
1003130071,F,FL,S,D.O.,Emergency Medicine,DO,78,1,110,1,1,,,,,
1003132234,M,IL,MW,M.D,Student in an Organized Health Care Education/Training Program,MD,0,0,23,1,0,,,,,
1003143280,F,PA,NE,D.O.,Family Practice,DO,0,0,349,1,1,,,,,
1003145897,F,MD,S,P.A.-C,Physician Assistant,PA,42,1,0,0,1,,,,,
1003155086,M,CA,W,D.D.S.,Dentist,DDS,0,0,16,1,0,,,,,
1003157017,M,FL,S,M.D.,General Practice,MD,53,1,112,1,1,,,,,
1003173154,M,AL,S,M.D.,Student in an Organized Health Care Education/Training Program,MD,0,0,158,1,0,,,,,
1003173568,F,LA,S,M.D.,Student in an Organized Health Care Education/Training Program,MD,0,0,22,1,0,,,,,
1003175142,F,NY,NE,MD,Student in an Organized Health Care Education/Training Program,MD,0,0,221,1,0,,,,,
1003178443,M,OK,S,D.O.,Student in an Organized Health Care Education/Training Program,DO,0,0,81,1,1,,,,,
1003179946,F,GA,S,NP,Nurse Practitioner,NP,25,1,173,1,1,,,,,
1003182940,F,IL,MW,"RN/BSN, MSN ,FNP-BC",Nurse Practitioner,NP,55,1,542,1,1,,,,,
1003195413,M,AZ,W,DDS,Dentist,DDS,0,0,21,1,0,,,,,
1003232489,F,IL,MW,"MS, FNP-BC",Nurse Practitioner,NP,33,1,222,1,1,,,,,
1003236712,F,KY,S,,Nurse Practitioner,NP,0,0,34,1,0,,,,,
1003242298,M,OH,MW,PAC,Physician Assistant,PA,22,1,15,1,1,,,,,
1003249343,F,MD,S,O. D.,Optometry,MD,0,0,312,1,0,,,,,
1003255670,F,NY,NE,FNP,Nurse Practitioner,NP,0,0,211,1,1,,,,,
1003256991,F,NE,MW,M.D.,Internal Medicine,MD,13,1,142,1,1,,,,,
1003800012,M,NE,MW,OD,Optometry,MD,0,0,49,1,0,,,,,
1003801085,F,MO,MW,MD,Internal Medicine,MD,752,1,17170,1,1,,,,,
1003801366,M,NY,NE,MD,General Surgery,MD,105,1,2590,1,1,,,,,
1003801788,M,TN,S,MD,Internal Medicine,MD,382,1,10820,1,1,,,,,
1003801853,M,PA,NE,MD,Cardiology,MD,0,0,3546,1,1,,,,,
1003803040,M,KY,S,DO,Obstetrics/Gynecology,DO,0,0,26,1,0,,,,,
1003803461,M,AZ,W,M.D.,Family Practice,MD,80,1,836,1,1,,,,,
1003804519,F,IL,MW,MD,Family Practice,MD,86,1,2742,1,1,,,,,
1003804642,M,MI,MW,MD,Family Practice,MD,328,1,6957,1,1,,,,,
1003806159,M,OH,MW,MD,Family Practice,MD,1111,1,8962,1,1,,,,,
1003806514,M,IL,MW,MD,Obstetrics/Gynecology,MD,33,1,16,1,1,,,,,
1003807033,M,OH,MW,DO,Family Practice,DO,128,1,4853,1,1,,,,,
1003808296,F,NY,NE,NP,Nurse Practitioner,NP,18,1,950,1,1,,,,,
1003808528,F,TX,S,M.D.,Otolaryngology,MD,0,0,128,1,0,,,,,
1003809005,M,OH,MW,"M.D,",Radiation Oncology,MD,0,0,23,1,1,,,,,
1003809542,M,NC,S,MD,Family Practice,MD,318,1,7388,1,1,,,,,
1003809765,F,CA,W,MD,Internal Medicine,MD,219,1,2275,1,1,,,,,
1003809997,M,KY,S,MD,Psychiatry,MD,0,0,1125,1,0,,,,,
1003810540,M,AZ,W,MD,Family Practice,MD,160,1,2788,1,1,,,,,
1003812454,F,NY,NE,M.D.,Ophthalmology,MD,0,0,1615,1,0,,,,,
1003812769,M,RI,NE,,Cardiology,MD,0,0,5482,1,0,,,,,
1003813114,M,NC,S,M.D.,Internal Medicine,MD,419,1,5642,1,1,,,,,
1003813155,F,CT,NE,MD,Internal Medicine,MD,0,0,15,1,0,,,,,
1003813320,M,TX,S,M.D.,Obstetrics/Gynecology,MD,0,0,39,1,0,,,,,
1003814518,M,GA,S,M.D.,Internal Medicine,MD,358,1,4486,1,1,,,,,
1003814575,M,NC,S,M.D.,Internal Medicine,MD,0,0,11,1,0,,,,,
1003814716,M,GA,S,MD,Neurosurgery,MD,193,1,67,1,1,,,,,
1003815119,M,KS,MW,PA-C,Physician Assistant,PA,599,1,6626,1,1,,,,,
1003815135,M,MO,MW,MD,Emergency Medicine,MD,77,1,92,1,1,,,,,
1003815903,M,LA,S,MD,Cardiology,MD,14,1,4313,1,1,,,,,
1003819657,M,FL,S,D.M.D.,Dentist,DDS,37,1,33,1,1,,,,,
1003823337,M,MO,MW,O.D.,Optometry,MD,0,0,41,1,0,,,,,
1003824004,M,IN,MW,MD,General Surgery,MD,72,1,0,0,1,,,,,
1003824582,M,NE,MW,MD,Family Practice,MD,25,1,2335,1,1,,,,,
1003824632,M,TX,S,MD,Family Practice,MD,335,1,5625,1,1,,,,,
1003824731,M,MN,MW,M.D.,Family Practice,MD,259,1,4807,1,1,,,,,
1003825316,F,MA,NE,PA-C,Physician Assistant,PA,0,0,261,1,0,,,,,
1003825720,M,KS,MW,M.D.,Family Practice,MD,337,1,3910,1,1,,,,,
1003827569,M,FL,S,DDS,Dentist,DDS,0,0,13,1,0,,,,,
1003828393,F,NY,NE,MD,Family Practice,MD,0,0,11,1,0,,,,,
1003828740,M,WI,MW,OD,Optometry,MD,0,0,178,1,0,,,,,
1003830142,M,WI,MW,MD,Family Practice,MD,502,1,4324,1,1,,,,,
1003830530,M,NC,S,M.D.,Internal Medicine,MD,289,1,6985,1,1,,,,,
1003835737,M,PA,NE,MD,Pulmonary Disease,MD,118,1,2363,1,1,,,,,
1003836024,M,UT,W,M.D.,Emergency Medicine,MD,27,1,79,1,1,,,,,
1003839200,F,MA,NE,MD,Internal Medicine,MD,158,1,2953,1,1,,,,,
1003839820,F,TX,S,"MD, MPH",Hematology/Oncology,MD,39,1,156,1,1,,,,,
1003841792,M,TX,S,M.D.,Preventive Medicine,MD,0,0,17,1,0,,,,,
1003841800,M,CA,W,MD,Internal Medicine,MD,160,1,1005,1,1,,,,,
1003841826,F,FL,S,M.D.,Family Practice,MD,0,0,13,1,0,,,,,
1003843590,M,MA,NE,M.D.,Internal Medicine,MD,226,1,7130,1,1,,,,,
1003844507,M,CA,W,M.D.,Family Practice,MD,412,1,4550,1,1,,,,,
1003847179,M,WA,W,MD,General Practice,MD,12,1,171,1,1,,,,,
1003847310,M,SC,S,M.D.,Urology,MD,82,1,720,1,1,,,,,
1003847484,M,NY,NE,M.D.,Neurosurgery,MD,26,1,25,1,1,,,,,
1003847625,M,PA,NE,DMD,Oral Surgery (dentists only),DDS,34,1,80,1,1,,,,,
1003848094,M,IN,MW,MD,Psychiatry,MD,0,0,3203,1,0,,,,,
1003852070,M,OH,MW,MD,Internal Medicine,MD,546,1,11820,1,1,,,,,
1003854860,F,NC,S,ANP,Nurse Practitioner,NP,0,0,117,1,0,,,,,
1003855800,M,TX,S,M.D.,Family Practice,MD,0,0,550,1,0,,,,,
1003856089,M,TX,S,MD,Family Practice,MD,54,1,879,1,1,,,,,
1003857707,M,CT,NE,M.D.,Physical Medicine and Rehabilitation,MD,0,0,14,1,0,,,,,
1003859331,F,NY,NE,M.D.,Family Practice,MD,122,1,1826,1,1,,,,,
1003862939,M,VA,S,PA-C,Physician Assistant,PA,0,0,357,1,0,,,,,
1003863283,M,CA,W,MD,Internal Medicine,MD,12,1,1494,1,1,,,,,
1003863697,M,WA,W,M.D.,Neurosurgery,MD,50,1,0,0,1,,,,,
1003864042,M,FL,S,DPM,Podiatry,MD,45,1,91,1,1,,,,,
1003865601,M,NJ,NE,M.D.,Family Practice,MD,22,1,690,1,1,,,,,
1003865775,M,IL,MW,M.D.,Emergency Medicine,MD,51,1,38,1,1,,,,,
1003866781,M,PA,NE,D.O.,Thoracic Surgery,DO,0,0,85,1,1,,,,,
1003867037,F,MT,W,M.D.,Family Practice,MD,160,1,1734,1,1,,,,,
1003867540,F,FL,S,M.D.,Internal Medicine,MD,0,0,17,1,1,,,,,
1003869819,M,NC,S,MD,Hospitalist,MD,12,1,327,1,1,,,,,
1003871377,M,CA,W,M.D.,Psychiatry,MD,0,0,330,1,0,,,,,
1003871443,M,MO,MW,MD,Nephrology,MD,243,1,6376,1,1,,,,,
1003871997,M,SC,S,M.D.,Internal Medicine,MD,199,1,6691,1,1,,,,,
1003872169,F,CA,W,MD,Internal Medicine,MD,611,1,10219,1,1,,,,,
1003872292,F,TX,S,MD,Gastroenterology,MD,0,0,92,1,0,,,,,
1003872714,M,MO,MW,MD,Internal Medicine,MD,0,0,155,1,1,,,,,
1003873142,F,OR,W,PA-C,Physician Assistant,PA,0,0,3273,1,1,,,,,
1003873191,M,OH,MW,MD,Family Practice,MD,0,0,812,1,0,,,,,
1003875212,M,OK,S,DO,Anesthesiology,DO,598,1,137,1,1,,,,,
1003875261,M,FL,S,M.D.,Pediatric Medicine,MD,0,0,47,1,0,,,,,
1003875634,F,OH,MW,MD,Obstetrics/Gynecology,MD,0,0,41,1,0,,,,,
1003876434,F,IN,MW,NP,Nurse Practitioner,NP,0,0,71,1,0,,,,,
1003877523,F,MD,S,M.D.,Emergency Medicine,MD,96,1,156,1,1,,,,,
1003880006,M,PA,NE,M.D.,Gastroenterology,MD,0,0,967,1,0,,,,,
1003880873,F,NC,S,FNP,Nurse Practitioner,NP,170,1,3517,1,1,,,,,
1003881459,M,KY,S,M.D.,Ophthalmology,MD,0,0,16,1,0,,,,,
1003881947,F,NY,NE,RPA-C,Physician Assistant,PA,41,1,72,1,1,,,,,
1003882523,M,NJ,NE,M.D.,Internal Medicine,MD,322,1,7569,1,1,,,,,
1003882721,M,AL,S,MD,General Surgery,MD,100,1,49,1,1,,,,,
1003884552,M,CA,W,D.O.,Family Practice,DO,142,1,2022,1,1,,,,,
1003887290,F,MI,MW,MD,Neurology,MD,38,1,1131,1,1,,,,,
1003887936,M,OK,S,MD,Family Practice,MD,407,1,2677,1,1,,,,,
1003888355,M,PA,NE,MD,Family Practice,MD,28,1,929,1,1,,,,,
1003889411,M,IL,MW,MD,Internal Medicine,MD,195,1,3515,1,1,,,,,
1003889726,M,MA,NE,MD,Gastroenterology,MD,77,1,1604,1,1,,,,,
1003890179,M,MS,S,M.D.,Plastic Surgery,MD,35,1,53,1,1,,,,,
1003890237,M,KY,S,D.M.D.,Dentist,DDS,41,1,63,1,1,,,,,
1003890344,M,MA,NE,MD,Internal Medicine,MD,0,0,85,1,1,,,,,
1003890948,M,PA,NE,MD,Emergency Medicine,MD,38,1,62,1,1,,,,,
1003891623,M,NY,NE,MD,Rheumatology,MD,12,1,1275,1,1,,,,,
1003893132,M,CT,NE,MD,Family Practice,MD,302,1,1771,1,1,,,,,
1003893140,M,TX,S,MD,Psychiatry & Neurology,MD,0,0,44,1,0,,,,,
1003893413,F,OH,MW,M.D.,Urology,MD,58,1,1101,1,1,,,,,
1003894619,M,MI,MW,MD,Internal Medicine,MD,93,1,1339,1,1,,,,,
1003897505,M,TX,S,D.D.S.,Dentist,DDS,0,0,47,1,0,,,,,
1003898859,F,MS,S,FNP,Nurse Practitioner,NP,138,1,3766,1,1,,,,,
1003901091,M,PR,O,DMD,Dentist,DDS,0,0,11,1,0,,,,,
1003902511,F,CA,W,M.D.,Neurology,MD,115,1,2950,1,1,,,,,
1003905043,M,NM,W,DDS,Dentist,DDS,15,1,63,1,1,,,,,
1003907031,M,IL,MW,D.D.S.,Dentist,DDS,0,0,19,1,0,,,,,
1003907858,M,PA,NE,D.M.D.,Dentist,DDS,0,0,61,1,0,,,,,
1003908054,M,MI,MW,M.D,Psychiatry,MD,15,1,3812,1,1,,,,,
1003908088,M,TX,S,DDS,Dentist,DDS,20,1,60,1,1,,,,,
1003909318,F,PA,NE,CRNP,Nurse Practitioner,NP,0,0,524,1,0,,,,,
1003910399,M,AL,S,D.M.D.,Dentist,DDS,63,1,46,1,1,,,,,
1003911751,M,PA,NE,M.D.,Internal Medicine,MD,0,0,3426,1,0,,,,,
1003912031,M,PA,NE,M.D,Internal Medicine,MD,13,1,7711,1,1,,,,,
1003912783,M,KY,S,M.D.,Gastroenterology,MD,14,1,3102,1,1,,,,,
1003913468,M,TX,S,M.D.,Family Practice,MD,337,1,6071,1,1,,,,,
1003914227,F,CA,W,M.D.,Cardiology,MD,534,1,27918,1,1,,,,,
1003916677,M,FL,S,M.D.,Orthopedic Surgery,MD,85,1,139,1,1,,,,,
1003917147,F,CA,W,MD,Emergency Medicine,MD,60,1,196,1,1,,,,,
1003918756,F,CA,W,DDS,Dentist,DDS,0,0,37,1,0,,,,,
1003920711,F,PR,O,M.D.,General Practice,MD,109,1,2296,1,1,,,,,
1003921552,F,FL,S,M.D.,Internal Medicine,MD,420,1,6428,1,1,,,,,
1003922345,F,CT,NE,PA-C MPAS,Physician Assistant,PA,0,0,1066,1,0,,,,,
1003923319,M,NV,W,MD,Nephrology,MD,0,0,358,1,0,,,,,
1003924093,M,SC,S,MD,Anesthesiology,MD,1272,1,303,1,1,,,,,
1003925249,M,OH,MW,DDS,Dentist,DDS,30,1,0,0,1,,,,,
1003926437,M,CA,W,MD,Psychiatry & Neurology,MD,0,0,1096,1,0,,,,,
1003927625,F,WI,MW,DDS,Dentist,DDS,0,0,43,1,0,,,,,
1003928953,F,NY,NE,MD,Internal Medicine,MD,737,1,11375,1,1,,,,,
1003932427,M,OH,MW,DMD,Dentist,DDS,0,0,76,1,0,,,,,
1003936766,F,IL,MW,M.D.,Family Practice,MD,280,1,3781,1,1,,,,,
1003938606,F,TX,S,"RN,C,FNP",Nurse Practitioner,NP,0,0,293,1,0,,,,,
1003944646,F,ME,NE,MD,Family Practice,MD,269,1,3204,1,1,,,,,
1003945494,F,NY,NE,D.D.S,Dentist,DDS,0,0,45,1,0,,,,,
1003947128,M,TN,S,D.O.,Osteopathic Manipulative Medicine,DO,282,1,6250,1,1,,,,,
1003947961,M,TX,S,M.D.,Emergency Medicine,MD,60,1,40,1,1,,,,,
1003949504,F,FL,S,P.A.,Specialist,MD,17,1,532,1,1,,,,,
1003952144,M,ND,MW,MD,Psychiatry,MD,0,0,888,1,0,,,,,
1003952169,F,NY,NE,M.D.,Neuropsychiatry,MD,0,0,132,1,0,,,,,
1003955709,M,CA,W,MD,Surgical Oncology,MD,77,1,0,0,1,,,,,
1003959834,M,MA,NE,M.D.,Psychiatry & Neurology,MD,0,0,28,1,0,,,,,
1003961871,M,FL,S,DMD,Dentist,DDS,35,1,69,1,1,,,,,
1003962754,M,PA,NE,D.M.D.,Dentist,DDS,0,0,25,1,1,,,,,
1003963075,M,AR,S,DDS,Dentist,DDS,69,1,159,1,1,,,,,
1003964156,M,IL,MW,M.D.,Family Practice,MD,97,1,2722,1,1,,,,,
1003965062,F,PA,NE,NURSE PRACTITIONER,Nurse Practitioner,NP,0,0,194,1,1,,,,,
1003970856,F,WA,W,"ARNP, BSN, MN",Nurse Practitioner,NP,91,1,34,1,1,,,,,
1003972183,M,WA,W,M.D.,Emergency Medicine,MD,115,1,179,1,1,,,,,
1003973637,M,MD,S,M.D.,Internal Medicine,MD,51,1,1618,1,1,,,,,
1003974643,F,CA,W,PA,Physician Assistant,PA,30,1,11,1,1,,,,,
1003974932,M,TX,S,DDS,Dentist,DDS,15,1,43,1,1,,,,,
1003975707,M,TN,S,PA,Physician Assistant,PA,364,1,2981,1,1,,,,,
1003976671,M,FL,S,M.D.,Psychiatry & Neurology,MD,0,0,311,1,0,,,,,
1003977414,F,PA,NE,MD,Internal Medicine,MD,20,1,94,1,1,,,,,
1003977927,M,AZ,W,DDS,Dentist,DDS,32,1,58,1,1,,,,,
1003981069,M,NE,MW,D.O.,Pediatric Medicine,DO,0,0,12,1,0,,,,,
1003982463,M,NY,NE,MD,Orthopaedic Surgery,MD,246,1,67,1,1,,,,,
1003983065,M,PA,NE,MD,Internal Medicine,MD,0,0,187,1,0,,,,,
1003983339,M,NJ,NE,M.D.,Obstetrics/Gynecology,MD,0,0,28,1,0,,,,,
1003984915,F,GA,S,PA-C,Physician Assistant,PA,153,1,722,1,1,,,,,
1003986522,M,IL,MW,O.D.,Optometry,MD,0,0,11,1,0,,,,,
1003986589,M,ME,NE,DMD DR MED DENT,Dentist,DDS,48,1,146,1,1,,,,,
1003991779,M,CA,W,MD,Rheumatology,MD,160,1,1359,1,1,,,,,
1003991902,M,TN,S,MD,Cardiology,MD,11,1,2294,1,1,,,,,
1003992033,M,NY,NE,MD,Family Practice,MD,47,1,1068,1,1,,,,,
1003992140,F,ID,W,P.A.-C.,Physician Assistant,PA,267,1,1892,1,1,,,,,
1003992314,M,TX,S,DDS,Dentist,DDS,30,1,207,1,1,,,,,
1003992736,M,CA,W,MD,Gastroenterology,MD,0,0,44,1,0,,,,,
1003992926,M,NY,NE,M.D.,Physical Medicine and Rehabilitation,MD,11,1,0,0,1,,,,,
1003994914,M,CA,W,DO,Internal Medicine,DO,895,1,6420,1,1,,,,,
1003994997,M,CA,W,MD,Family Practice,MD,652,1,9009,1,1,,,,,
1003995234,M,AZ,W,D.D.S.,Dentist,DDS,17,1,16,1,1,,,,,
1003995622,M,NJ,NE,DDS,Dentist,DDS,0,0,19,1,0,,,,,
1003996646,F,CT,NE,APRN,Nurse Practitioner,NP,0,0,168,1,0,,,,,
1003997248,F,CA,W,NP,Nurse Practitioner,NP,0,0,35,1,0,,,,,
1003999459,F,LA,S,FNP,Nurse Practitioner,NP,145,1,917,1,1,,,,,
1003999582,M,MN,MW,MD,Family Practice,MD,0,0,62,1,1,,,,,
1013000405,M,NY,NE,DPM,Podiatry,MD,0,0,98,1,0,,,,,
1013001759,M,NY,NE,M.D.,Internal Medicine,MD,36,1,3556,1,1,,,,,
1013003284,F,MO,MW,DDS,Dentist,DDS,14,1,32,1,1,,,,,
1013003342,F,NY,NE,FNP,Nurse Practitioner,NP,28,1,937,1,1,,,,,
1013003938,M,AK,W,MD,Psychiatry,MD,0,0,379,1,0,,,,,
1013004027,M,GA,S,PA-C,Physician Assistant,PA,0,0,807,1,0,,,,,
1013004522,M,AR,S,MD,General Surgery,MD,113,1,86,1,1,,,,,
1013005537,M,MI,MW,MD,Family Practice,MD,167,1,1682,1,1,,,,,
1013008408,M,UT,W,PA,Physician Assistant,PA,45,1,16,1,1,,,,,
1013009273,F,WA,W,ARNP,Nurse Practitioner,NP,0,0,1533,1,0,,,,,
1013009620,F,NY,NE,NP,Nurse Practitioner,NP,0,0,649,1,0,,,,,
1013011394,M,IL,MW,M.D.,Family Practice,MD,236,1,4187,1,1,,,,,
1013017102,M,CA,W,"DDS, MSD",Dentist,DDS,155,1,493,1,1,,,,,
1013018191,F,FL,S,,Dentist,DDS,0,0,15,1,0,,,,,
1013019108,F,CO,W,PA-C,Physician Assistant,PA,32,1,0,0,1,,,,,
1013020569,F,WV,S,DPM,Podiatry,MD,47,1,0,0,1,,,,,
1013020619,M,CA,W,DPM,Podiatry,MD,0,0,11,1,0,,,,,
1013020700,M,TX,S,DDS,Dentist,DDS,19,1,65,1,1,,,,,
1013022300,F,MA,NE,"NP, PHD",Nurse Practitioner,NP,0,0,74,1,0,,,,,
1013023548,F,FL,S,MD,Family Practice,MD,33,1,229,1,1,,,,,
1013027846,M,NY,NE,D.P.M.,Podiatry,MD,0,0,18,1,0,,,,,
1013028513,M,NJ,NE,D.M.D.,Dentist,DDS,0,0,22,1,0,,,,,
1013031749,M,MN,MW,MD,Nephrology,MD,0,0,14,1,0,,,,,
1013034933,M,TN,S,DDS,Dentist,DDS,19,1,28,1,1,,,,,
1013040922,F,PR,O,,General Practice,MD,85,1,376,1,1,,,,,
1013043280,F,CA,W,MD,Hematology/Oncology,MD,41,1,99,1,1,,,,,
1013043744,F,TX,S,MD,Emergency Medicine,MD,46,1,246,1,1,,,,,
1013044932,M,PA,NE,DDS,Dentist,DDS,0,0,19,1,0,,,,,
1013048362,M,OH,MW,DDS,Dentist,DDS,0,0,60,1,0,,,,,
1013053388,M,WV,S,D.D.S.,Dentist,DDS,0,0,14,1,0,,,,,
1013053669,M,CA,W,MD,Emergency Medicine,MD,12,1,41,1,1,,,,,
1013054386,M,CO,W,MD,Neurology,MD,15,1,2599,1,1,,,,,
1013059716,M,NJ,NE,MD,Interventional Pain Management,MD,40,1,0,0,1,,,,,
1013062348,M,ME,NE,MD,Family Practice,MD,156,1,1581,1,1,,,,,
1013064310,M,AR,S,DDS,Oral Surgery (dentists only),DDS,172,1,467,1,1,,,,,
1013065341,M,IA,MW,PA-C,Physician Assistant,PA,0,0,23,1,0,,,,,
1013065788,M,NY,NE,M.D.,Internal Medicine,MD,0,0,29,1,0,,,,,
1013067602,F,MI,MW,PA,Physician Assistant,PA,13,1,0,0,1,,,,,
1013069251,M,CA,W,"D.D.S., F.A.C.D.",Dentist,DDS,0,0,24,1,0,,,,,
1013069632,M,NY,NE,NP,Nurse Practitioner,NP,0,0,135,1,0,,,,,
1013069780,M,TX,S,D.O.,Orthopedic Surgery,DO,2039,1,568,1,1,,,,,
1013070994,M,NY,NE,DDS,Dentist,DDS,11,1,18,1,1,,,,,
1013071299,M,RI,NE,D.M.D.,Dentist,DDS,0,0,68,1,0,,,,,
1013072461,M,AL,S,M.D.,Internal Medicine,MD,61,1,5246,1,1,,,,,
1013073204,M,NY,NE,M.D.,Psychiatry,MD,0,0,49,1,0,,,,,
1013073253,M,IL,MW,M.D.,Emergency Medicine,MD,51,1,46,1,1,,,,,
1013075126,M,HI,W,,Dentist,DDS,0,0,11,1,0,,,,,
1013075761,F,MA,NE,DMD,Dentist,DDS,0,0,21,1,0,,,,,
1013076587,M,NC,S,M.D.,Internal Medicine,MD,14,1,0,0,1,,,,,
1013077411,F,MI,MW,M.D.,Ophthalmology,MD,0,0,1291,1,0,,,,,
1013081322,M,OH,MW,MD,Thoracic Surgery,MD,66,1,188,1,1,,,,,
1013083252,M,MD,S,D.D.S.,Dentist,DDS,0,0,35,1,0,,,,,
1013085208,F,CA,W,,Dentist,DDS,0,0,39,1,0,,,,,
1013088947,F,KY,S,MD,Family Practice,MD,137,1,4353,1,1,,,,,
1013090273,M,NC,S,M.D.,Nephrology,MD,0,0,1439,1,0,,,,,
1013091941,M,NY,NE,,Pediatric Medicine,MD,184,1,1547,1,1,,,,,
1013092246,M,NM,W,MD,Psychiatry,MD,0,0,2520,1,0,,,,,
1013095132,M,SC,S,D.M.D.,Dentist,DDS,0,0,17,1,0,,,,,
1013095272,M,NY,NE,MD,Ophthalmology,MD,0,0,1671,1,0,,,,,
1013095660,F,CA,W,MD,Hematology,MD,36,1,81,1,1,,,,,
1013098235,M,AL,S,DMD,Dentist,DDS,19,1,37,1,1,,,,,
1013098946,F,NC,S,MD,Ophthalmology,MD,0,0,417,1,0,,,,,
1013099399,F,TX,S,M.D.,Neurology,MD,82,1,756,1,1,,,,,
1013101443,F,GA,S,NP-C,Nurse Practitioner,NP,0,0,864,1,1,,,,,
1013103076,M,KY,S,M.D,Family Practice,MD,0,0,106,1,0,,,,,
1013103159,M,NY,NE,,Dentist,DDS,0,0,103,1,1,,,,,
